SEQUENCE_GENBANK_STRAIN,SEQUENCE_GENBANK_ACCESSION
USA/WA-PHL-031218/2022,PP788273.1
USA/WA-CDC-UW22112922803/2022,OQ028727.1
USA/WA-CDC-QDX45593467/2023,OQ347684.1
USA/WA-CDC-LC0695650/2022,ON801708.1
USA/WA-UW-2021041571075/2021,MZ240564.1
USA/WA-UW-2021040203479/2021,MZ236770.1
USA/WA-CDC-UW21101197938/2021,OK640505.1
USA/WA-CDC-UW21082648780/2021,OK110942.1
USA/WA-S16301/2022,OM363931.1
USA/WA-PHL-011820/2022,PQ175218.1
USA/WA-CDC-UW21112993630/2021,OL884469.1
USA/WA-CDC-UW21083090513/2021,OK158929.1
USA/WA-PHL-034408/2022,PQ414820.1
USA/WA-CDC-LC0706525/2022,ON821884.1
USA/WA-PHL-011095/2022,PQ174875.1
USA/WA-CDC-UW22030173065/2022,ON018623.1
USA/WA-CDC-FG-150060/2021,OK614284.1
USA/WA-PHL-012828/2022,OQ873035.1
USA/WA-CDC-LC0284678/2021,OK364929.1
USA/WA-PHL-001137/2021,PP700956.1
USA/WA-CDC-FG-096615/2021,OK141092.1
USA/WA-S19473/2022,ON207478.1
USA/WA-CDC-UW22032389518/2022,ON222613.1
USA/WA-CDC-UW22022862312/2022,ON026253.1
USA/WA-PHL-004125/2021,PP628935.1
USA/WA-PHL-001866/2021,PP628006.1
USA/WA-CDC-FG-163792/2021,OL474656.1
USA/WA-S13665/2021,OL516056.1
USA/WA-PHL-022154/2022,PP478260.1
USA/WA-PHL-032148/2022,OQ836062.1
USA/WA-CDC-LC0620593/2022,ON544945.1
USA/WA-CDC-UW21050346653/2021,MZ257665.1
USA/WA-S9209/2021,MZ513684.1
USA/WA-PHL-011314/2022,PQ175092.1
USA/WA-S86/2020,MT627246.1
USA/WA-S5457/2021,MW774036.1
USA/WA-S15254/2021,OL904051.1
USA/WA-CDC-LC0475700/2022,OM343738.1
USA/WA-CDC-LC0280462/2021,OK363162.1
USA/WA-UW-22011128028/2022,OM646695.1
USA/WA-CDC-UW21121773446/2021,OM131815.1
USA/WA-PHL-021870/2022,PP477893.1
USA/WA-UW-22081577448/2022,OP457387.1
USA/WA-PHL-013712/2022,OQ876521.1
USA/WA-UW-23090553724/2023,OR623003.1
USA/WA-PHL-000328/2021,PP697111.1
USA/WA-CDC-UW22031053267/2022,ON090505.1
USA/WA-UW-21042784712/2021,MZ433968.1
USA/WA-PHL-008512/2021,PQ173435.1
USA/WA-UW-21072597878/2021,OK542301.1
USA/WA-PHL-019951/2022,OQ986449.1
USA/WA-CDC-LC0618497/2022,ON537710.1
USA/WA-UW-22081441803/2022,OP457324.1
USA/WA-CDC-LC1122052/2024,PQ416204.1
USA/WA-CDC-LC0058796/2021,MZ253999.1
USA/WA-UW-23020633625/2023,OQ429341.1
USA/WA-CDC-LC0658639/2022,ON656926.1
USA/WA-UW-22121671312/2022,OQ201753.1
USA/WA-PHL-007534/2021,PQ173001.1
USA/WA-S14562/2021,OL675876.1
USA/WA-CDC-UW21062813417/2021,MZ532217.1
USA/WA-CDC-UW22032277592/2022,ON140970.1
USA/WA-PHL-023144/2022,OQ771871.1
USA/WA-UW-23021053194/2023,OQ503919.1
USA/WA-CDC-UW21081751686/2021,OK068242.1
USA/WA-PHL-032908/2023,PQ386132.1
USA/WA-UW-22092163970/2022,OP678530.1
USA/WA-UW-22042425560/2022,ON631386.1
USA/WA-CDC-UW22031431845/2022,ON090653.1
USA/WA-UW-22021730712/2022,ON140320.1
USA/WA-S19693/2022,ON375078.1
USA/WA-CDC-UW22101069103/2022,OP738382.1
USA/WA-CDC-UW23011337771/2023,OQ306877.1
USA/WA-S18985/2022,ON052926.1
USA/WA-CDC-UW22091740128/2022,OP656354.1
USA/WA-CDC-LC0153080/2021,MZ866528.1
USA/WA-PHL-030117/2020,PQ414298.1
USA/WA-S19426/2022,ON207438.1
USA/WA-CDC-UW21122421362/2021,OM188579.1
USA/WA-UW-22082236733/2022,OP443672.1
USA/WA-UW-21041365957/2021,MZ239373.1
USA/WA-CDC-LC0561611/2022,ON047833.1
USA/WA-CDC-UW22022311920/2022,ON018247.1
USA/WA-UW-22110309578/2022,OP939532.1
USA/WA-PHL-010522/2021,PQ174649.1
USA/WA-UW-22072792372/2022,OP348764.1
USA/WA-S15040/2021,OL740873.1
USA/WA-PHL-008019/2021,PQ173232.1
USA/WA-CDC-UW21122883119/2021,OM232676.1
USA/WA-CDC-LC0735435/2022,ON940510.1
USA/WA-CDC-UW22100630041/2022,OP738304.1
USA/WA-PHL-002660/2021,PQ170284.1
USA/WA-PHL-008474/2021,PQ173400.1
USA/WA-UW-21111560536/2021,OL965246.1
USA/WA-CDC-UW21112054202/2021,OL679277.1
USA/WA-CDC-LC0568419/2022,ON151981.1
USA/WA-CDC-UW23042104539/2023,OQ930987.1
USA/WA-PHL-017384/2022,OQ921177.1
USA/WA-CDC-UW22082372366/2022,OP429670.1
USA/WA-CDC-UW21050114872/2021,MZ217619.1
USA/WA-CDC-UW21082871570/2021,OK110724.1
USA/WA-PHL-012558/2022,PQ175569.1
USA/WA-PHL-029311/2020,PQ413872.1
USA/WA-S3392/2020,MW494023.2
USA/WA-CDC-LC0521594/2022,OM696566.1
USA/WA-CDC-QDX46448203/2023,OQ452299.1
USA/WA-S10684/2021,OK083322.1
USA/WA-CDC-UW22060730988/2022,ON827192.1
USA/WA-UW-22042746451/2022,ON627584.1
USA/WA-CDC-UW21080619779/2021,MZ895983.1
USA/WA-PHL-023052/2022,PQ370376.1
USA/WA-UW-21042049373/2021,MZ171821.1
USA/WA-CDC-UW22052200861/2022,ON691820.1
USA/WA-S5897/2021,MW931584.1
USA/WA-S13088/2021,OL333700.1
USA/WA-UW-21041722317/2021,MZ232994.1
USA/WA-S546/2020,MT633004.1
USA/WA-CDC-UW21121863615/2021,OM065676.1
USA/WA-PHL-016400/2022,OQ711712.1
USA/WA-CDC-LC0659347/2022,ON659774.1
USA/WA-CDC-LC0658728/2022,ON656917.1
USA/WA-UW-22100357637/2022,OP678889.1
USA/WA-S4661/2021,MW647947.1
USA/WA-UW-22011085591/2022,OM569773.1
USA/WA-UW-22041591102/2022,ON478619.1
USA/WA-CDC-QDX31446659/2021,OL788932.1
USA/WA-CDC-UW21061465678/2021,MZ440944.1
USA/WA-S18993/2022,ON052933.1
USA/WA-PHL-012527/2022,PQ175540.1
USA/WA-CDC-UW21071953919/2021,MZ754554.1
USA/WA-CDC-UW21101190423/2021,OK640493.1
USA/WA-UW-24022210520/2024,PP496912.1
USA/WA-CDC-LC0153054/2021,MZ866637.1
USA/WA-CDC-LC0200471/2021,OK102043.1
USA/WA-CDC-LC0444775/2021,OM175911.1
USA/WA-CDC-UW24010336083/2024,PP159127.1
USA/WA-S19458/2022,ON207464.1
USA/WA-S763/2020,MT641558.1
USA/WA-CDC-UW22050140335/2022,ON689188.1
USA/WA-CDC-LC0866255/2022,OP402202.1
USA/WA-UW-22032989014/2022,ON249216.1
USA/WA-S2134/2020,MT831405.1
USA/WA-CDC-LC0555744/2022,OM957983.1
USA/WA-CDC-LC0706603/2022,ON821657.1
USA/WA-UW-2021041471386/2021,MZ240490.1
USA/WA-PHL-031930/2022,OQ836000.1
USA/WA-PHL-008808/2021,PP630894.1
USA/WA-PHL-019276/2022,OQ720815.1
USA/WA-UW-22072452442/2022,OP243161.1
USA/WA-UW-22122839539/2022,OQ306080.1
USA/WA-S8246/2021,MZ453549.1
USA/WA-CDC-UW22021425868/2022,OM956473.1
USA/WA-PHL-001849/2021,PP627993.1
USA/WA-UW-22042728669/2022,ON740685.1
USA/WA-UW-21072785287/2021,OK332004.1
USA/WA-CDC-LC0998415/2023,OQ364242.1
USA/WA-CDC-LC1029536/2023,OQ699624.1
USA/WA-CDC-LC0499443/2022,OM498031.1
USA/WA-CDC-LC0617772/2022,ON537576.1
USA/WA-UW-6399/2020,MT412331.1
USA/WA-S7978/2021,MZ388266.1
USA/WA-UW-22042090983/2022,ON548717.1
USA/WA-UW-22100731394/2022,OP824112.1
USA/WA-UW-21090279299/2021,OK333349.1
USA/WA-S23936/2023,OR597206.1
USA/WA-PHL-008394/2021,PP630831.1
USA/WA-PHL-029051/2022,PQ387240.1
USA/WA-CDC-LC0252520/2021,OK203173.1
USA/WA-UW-22042268376/2022,ON631535.1
USA/WA-UW-22050633733/2022,ON553497.1
USA/WA-PHL-015492/2022,OQ873825.1
USA/WA-CDC-UW22031582416/2022,ON090789.1
USA/WA-UW-21042108281/2021,MZ171904.1
USA/WA-PHL-000187/2021,PP697005.1
USA/WA-PHL-025006/2022,PP786850.1
USA/WA-UW-65828/2021,MZ151634.1
USA/WA-CDC-LC0499271/2022,OM497871.1
USA/WA-UW-23012267962/2023,OQ389852.1
USA/WA-CDC-ASC210586463/2022,OM476075.1
USA/WA-UW-22062051762/2022,ON974084.1
USA/WA-CDC-LC0271458/2021,OK308188.1
USA/WA-PHL-015364/2022,OQ873720.1
USA/WA-CDC-UW21110379526/2021,OL606853.1
USA/WA-UW-21061649422/2021,MZ613528.1
USA/WA-S19659/2022,ON375046.1
USA/WA-UW-22021656146/2022,ON140463.1
USA/WA-S2906/2020,MW173430.1
USA/WA-PHL-026173/2022,OQ779378.1
USA/WA-CDC-LC0581948/2022,ON373334.1
USA/WA-CDC-LC0860178/2022,OP384907.1
USA/WA-S8856/2021,MZ469264.1
USA/WA-PHL-009831/2021,PQ174085.1
USA/WA-PHL-015676/2022,OQ881125.1
USA/WA-S10396/2020,MZ768775.1
USA/WA-CDC-UW22021858559/2022,OM956564.1
USA/WA-UW-2021040806353/2021,MZ240066.1
USA/WA-PHL-005466/2021,PQ171882.1
USA/WA-PHL-031873/2022,OQ835966.1
USA/WA-PHL-024690/2022,PQ371177.1
USA/WA-UW-23101802234/2023,OR764540.1
USA/WA-CDC-UW22121776669/2022,OQ338888.1
USA/WA-S13721/2021,OL516112.1
USA/WA-CDC-LC0822685/2022,OP239448.1
USA/WA-CDC-LC0658709/2022,ON656534.1
USA/WA-PHL-031657/2022,PQ403897.1
USA/WA-CDC-UW23010637741/2023,OQ271664.1
USA/WA-CDC-LC0378026/2021,OL646747.1
USA/WA-PHL-021341/2022,PQ389722.1
USA/WA-UW-23051701513/2023,OR142259.1
USA/WA-CDC-UW21052484528/2021,MZ385929.1
USA/WA-CDC-UW22011346648/2022,OM348502.1
USA/WA-S16784/2022,OM445430.1
USA/WA-PHL-004669/2021,PP629202.1
USA/WA-PHL-000184/2021,PP697002.1
USA/WA-UW-21073139263/2021,MZ835690.1
USA/WA-CDC-UW21102225005/2021,OL360741.1
USA/WA-UW-21090578102/2021,OK334170.1
USA/WA-UW-21090873499/2021,OK334160.1
USA/WA-PHL-029001/2020,PQ413702.1
USA/WA-PHL-025253/2022,OP597125.1
USA/WA-CDC-LC0704615/2022,ON823600.1
USA/WA-UW-22051627465/2022,ON631643.1
USA/WA-CDC-LC0721089/2022,ON895173.1
USA/WA-CDC-UW22021152299/2022,OM900774.1
USA/WA-UW-22072461181/2022,OP348631.1
USA/WA-CDC-VSX-A240757/2023,OR654598.1
USA/WA-CDC-UW21093057946/2021,OK615839.1
USA/WA-UW-22071128835/2022,OP107559.1
USA/WA-PHL-015506/2022,OQ873838.1
USA/WA-CDC-UW21071907870/2021,MZ754582.1
USA/WA-S13756/2021,OL516146.1
USA/WA-CDC-UW21081355012/2021,MZ952069.1
USA/WA-PHL-002535/2021,PP628326.1
USA/WA-CDC-UW23102019853/2023,OR815411.1
USA/WA-CDC-UW22070683253/2022,OP036328.1
USA/WA-UW-21073149828/2021,OK144512.1
USA/WA-CDC-UW21082891335/2021,OK158816.1
USA/WA-UW-22041423081/2022,ON412261.1
USA/WA-CDC-UW21090709169/2021,OK301533.1
USA/WA-CDC-UW21051043513/2021,MZ293569.1
USA/WA-S7406/2021,MZ222663.1
USA/WA-CDC-UW21120174010/2021,OL884557.1
USA/WA-CDC-LC0456617/2021,OM271730.1
USA/WA-CDC-FG-146298/2021,OK543073.1
USA/WA-CDC-UW21090778387/2021,OK301482.1
USA/WA-CDC-LC0152741/2021,MZ866656.1
USA/WA-PHL-031211/2022,PP788266.1
USA/WA-CDC-UW21061761110/2021,MZ477983.1
USA/WA-UW-22011083469/2022,OM569726.1
USA/WA-S956/2020,MT642361.1
USA/WA-UW-21100510077/2021,OK635859.1
USA/WA-CDC-LC0327277/2021,OK606541.1
USA/WA-PHL-001528/2021,PQ169866.1
USA/WA-PHL-010080/2022,PQ174236.1
USA/WA-PHL-007499/2021,PQ172968.1
USA/WA-PHL-005867/2021,PQ172242.1
USA/WA-PHL-000877/2021,PP700715.1
USA/WA-S23678/2023,OR250905.1
USA/WA-PHL-030323/2022,PP787820.1
USA/WA-UW-23010480881/2023,OQ306135.1
USA/WA-S19990/2022,ON521502.1
USA/WA-UW-22040129355/2022,ON381104.1
USA/WA-CDC-UW21090797027/2021,OK301543.1
USA/WA-S10342/2021,MZ770155.1
USA/WA-CDC-LC0994415/2023,OQ353323.1
USA/WA-CDC-UW22061318979/2022,ON894129.1
USA/WA-PHL-032160/2023,OQ836074.1
USA/WA-PHL-004982/2021,PP629452.1
USA/WA-PHL-018026/2022,OQ920366.1
USA/WA-S3161/2020,MW474323.1
USA/WA-CDC-UW22051923897/2022,ON691696.1
USA/WA-S3670/2021,MW549643.2
USA/WA-CDC-UW23011782043/2023,OQ352953.1
USA/WA-CDC-LC0173350/2021,MZ944271.1
USA/WA-PHL-016711/2022,PQ400723.1
USA/WA-CDC-LC0483867/2022,OM411791.1
USA/WA-UW-22010468810/2022,OM510012.1
USA/WA-S17479/2022,OM524420.1
USA/WA-CDC-LC0252352/2021,OK202989.1
USA/WA-CDC-LC1107044/2024,PP972916.1
USA/WA-CDC-ASC210138859/2021,OK578295.1
USA/WA-UW-24041348994/2024,PP930368.1
USA/WA-CDC-QDX85125207/2023,OR603780.1
USA/WA-PHL-006108/2021,PP629993.1
USA/WA-CDC-UW22061313334/2022,ON894115.1
USA/WA-S9030/2021,MZ469460.1
USA/WA-UW-22042217223/2022,ON796250.1
USA/WA-CDC-LC0686465/2022,ON769442.1
USA/WA-CDC-UW21052181270/2021,MZ357498.1
USA/WA-S16119/2022,OM296925.1
USA/WA-S13725/2021,OL516116.1
USA/WA-S13266/2021,OL336079.1
USA/WA-CDC-UW22032075882/2022,ON140799.1
USA/WA-CDC-UW22110820484/2022,OP872836.1
USA/WA-S2448/2020,MT831687.1
USA/WA-CDC-UW22102977338/2022,OP848323.1
USA/WA-UW-22062225323/2022,ON987089.1
USA/WA-UW-21082743370/2021,OK375320.1
USA/WA-UW-22061887990/2022,ON987156.1
USA/WA-CDC-UW23013184303/2023,OQ439703.1
USA/WA-PHL-024634/2022,OP596978.1
USA/WA-CDC-LC0658310/2022,ON656554.1
USA/WA-CDC-LC0105240/2021,MZ784310.1
USA/WA-CDC-UW22010413289/2022,OM348038.1
USA/WA-CDC-UW22051696179/2022,ON691657.1
USA/WA-CDC-UW21072299683/2021,OK111038.1
USA/WA-PHL-030170/2022,PP787709.1
USA/WA-CDC-UW21073052557/2021,MZ788476.1
USA/WA-S14680/2021,OL740492.1
USA/WA-S15871/2021,OM296728.1
USA/WA-UW-23031190939/2023,OQ673774.1
USA/WA-CDC-LC0445771/2021,OM176407.1
USA/WA-CDC-UW22100918888/2022,OP738348.1
USA/WA-CDC-UW22071024668/2022,OP102788.1
USA/WA-CDC-QDX37011114/2022,ON635840.1
USA/WA-UW-21042714746/2021,MZ433952.1
USA/WA-CDC-FG-035862/2021,MZ344453.1
USA/WA-CDC-UW21120850762/2021,OL897137.1
USA/WA-CDC-LC0284595/2021,OK363576.1
USA/WA-S8109/2021,MZ388395.1
USA/WA-S8931/2021,MZ469367.1
USA/WA-S11808/2021,OK374773.1
USA/WA-CDC-LC0250900/2021,OK202062.1
USA/WA-CDC-LC0724061/2022,ON895836.1
USA/WA-CDC-UW22032272522/2022,ON140971.1
USA/WA-S3666/2021,MW548954.2
USA/WA-CDC-UW21082666466/2021,OK110615.1
USA/WA-S4032/2021,MW555863.2
USA/WA-UW-23050905391/2023,OR142225.1
USA/WA-UW-60671/2021,MW879636.1
USA/WA-CDC-UW22031452533/2022,ON090687.1
USA/WA-UW-21082017338/2021,OK261801.1
USA/WA-PHL-026431/2022,PQ371635.1
USA/WA-PHL-014735/2022,PQ400188.1
USA/WA-UW-10090/2020,MT683416.1
USA/WA-CDC-UW22012513007/2022,OM570765.1
USA/WA-PHL-001190/2021,PP701002.1
USA/WA-PHL-012001/2022,PQ175390.1
USA/WA-CDC-LC0619350/2022,ON539857.1
USA/WA-PHL-031541/2022,PQ403806.1
USA/WA-CDC-LC0739769/2022,ON948711.1
USA/WA-CDC-LC0401083/2021,OL837102.1
USA/WA-S2757/2020,MT947586.1
USA/WA-CDC-UW22070345750/2022,OP036159.1
USA/WA-CDC-UW22110186117/2022,OP868654.1
USA/WA-CDC-FG-194821/2021,OM006204.1
USA/WA-PHL-017604/2022,PQ370243.1
USA/WA-UW-22072582260/2022,OP242633.1
USA/WA-CDC-LC0654367/2022,ON702713.1
USA/WA-PHL-032075/2023,PQ372095.1
USA/WA-CDC-UW21120810095/2021,OL914102.1
USA/WA-PHL-025621/2022,PP787170.1
USA/WA-S1387/2020,MT821741.1
USA/WA-S23691/2023,OR509399.1
USA/WA-CDC-UW21123005368/2021,OM341654.1
USA/WA-CDC-UW21051317535/2021,MZ319636.1
USA/WA-CDC-UW22101530668/2022,OP776475.1
USA/WA-CDC-LC0553238/2022,OM940924.1
USA/WA-PHL-022729/2022,OQ771714.1
USA/WA-UW-22080446661/2022,OP348249.1
USA/WA-UW-21102180098/2021,OL467395.1
USA/WA-S19905/2022,ON521429.1
USA/WA-UW-21082322138/2021,OK258302.1
USA/WA-CDC-LC0378412/2021,OL646439.1
USA/WA-UW-22052193056/2022,ON630314.1
USA/WA-UW179/2020,OR223324.1
USA/WA-CDC-LC0749846/2022,ON976069.1
USA/WA-UW-2021041592406/2021,MZ240621.1
USA/WA-CDC-UW21080381529/2021,MZ882519.1
USA/WA-CDC-LC0328720/2021,OK607566.1
USA/WA-S13343/2021,OL373547.1
USA/WA-CDC-LC0376368/2021,OL644613.1
USA/WA-UW-2021040207846/2021,MZ236827.1
USA/WA-PHL-006109/2021,PP629994.1
USA/WA-CDC-ASC210634881/2021,OM096210.1
USA/WA-S2644/2020,MT831836.1
USA/WA-PHL-004718/2021,PP629237.1
USA/WA-PHL-004014/2021,PQ171226.1
USA/WA-CDC-UW21122874355/2021,OM232735.1
USA/WA-CDC-UW22012344661/2022,OM570665.1
USA/WA-CDC-ASC210544461/2022,OM561316.1
USA/WA-PHL-010627/2022,PQ174752.1
USA/WA-PHL-015935/2022,OQ881183.1
USA/WA-UW-22040759890/2022,ON412204.1
USA/WA-CDC-LC0757264/2022,OP000171.1
USA/WA-UW-2021041401235/2021,MZ233326.1
USA/WA-PHL-001573/2021,PQ169910.1
USA/WA-CDC-UW21073116062/2021,MZ788454.1
USA/WA-CDC-UW22022838534/2022,ON026260.1
USA/WA-UW-23031201509/2023,OQ704061.1
USA/WA-CDC-UW22021400293/2022,OM900976.1
USA/WA-UW-21072723227/2021,OK332018.1
USA/WA-S14602/2021,OL740415.1
USA/WA-CDC-UW22092151652/2022,OP630280.1
USA/WA-PHL-002677/2021,PQ170300.1
USA/WA-S1813/2020,MT834086.1
USA/WA-S5538/2021,MW869881.1
USA/WA-CDC-QDX37843495/2022,ON846869.1
USA/WA-CDC-UW21122400148/2021,OM232520.1
USA/WA-CDC-STM-000027069/2021,MW783372.1
USA/WA-CDC-UW23022302279/2023,OQ589313.1
USA/WA-CDC-LC1035437/2023,OQ808413.1
USA/WA-CDC-LC0860549/2022,OP385630.1
USA/WA-PHL-002876/2021,PQ170497.1
USA/WA-CDC-UW21042944644/2021,MZ199128.1
USA/WA-CDC-UW22010212935/2022,OM347963.1
USA/WA-UW-22032523054/2022,ON249195.1
USA/WA-CDC-UW21120221974/2021,OL884590.1
USA/WA-UW-22072713046/2022,OP242977.1
USA/WA-CDC-LC0785998/2022,OP109401.1
USA/WA-CDC-LC0015443/2021,MW704799.1
USA/WA-UW-21113089751/2021,OM125009.1
USA/WA-UW-22100477583/2022,OP715963.1
USA/WA-S10384/2021,MZ768766.1
USA/WA-CDC-LC0569801/2022,ON232909.1
USA/WA-CDC-UW21070244093/2021,MZ714650.1
USA/WA-CDC-UW22022812179/2022,ON018495.1
USA/WA-CDC-UW22032642576/2022,ON305216.1
USA/WA-CDC-QDX43942920/2022,OP991005.1
USA/WA-UW-22060968821/2022,ON969078.1
USA/WA-UW-68114/2021,MZ232091.1
USA/WA-S3421/2020,MW494051.1
USA/WA-S13539/2021,OL373737.1
USA/WA-UW-62837/2021,MZ235723.1
USA/WA-UW-22060635808/2022,ON796336.1
USA/WA-CDC-UW21121492470/2021,OM056331.1
USA/WA-S21406/2022,OP252746.1
USA/WA-PHL-027207/2022,OQ782036.1
USA/WA-CDC-LC0804136/2022,OP166519.1
USA/WA-CDC-UW21081340947/2021,MZ952311.1
USA/WA-CDC-UW21101172588/2021,OK640535.1
USA/WA-PHL-009973/2022,PP631467.1
USA/WA-CDC-UW22112683273/2022,OQ028703.1
USA/WA-UW-21051790697/2021,MZ394415.1
USA/WA-S16030/2021,OM296836.1
USA/WA-UW-2021040898978/2021,MZ231730.1
USA/WA-CDC-UW22031412216/2022,ON090650.1
USA/WA-PHL-019315/2022,OQ720840.1
USA/WA-S621/2020,MT627746.1
USA/WA-UW-22042093798/2022,ON631407.1
USA/WA-UW-21111838808/2021,OL965310.1
USA/WA-PHL-031940/2022,OQ836007.1
USA/WA-CDC-UW21072801371/2021,MZ788619.1
USA/WA-CDC-UW23030675792/2023,OQ619364.1
USA/WA-UW-22072880340/2022,OP348780.1
USA/WA-CDC-QDX30276674/2021,OL388587.1
USA/WA-PHL-019472/2022,OQ720873.1
USA/WA-CDC-UW23012694522/2023,OQ439662.1
USA/WA-CDC-UW23012436422/2023,OQ392505.1
USA/WA-PHL-032093/2023,PQ372112.1
USA/WA-CDC-UW21090743906/2021,OK301528.1
USA/WA-CDC-FG-169456/2021,OL591879.1
USA/WA-PHL-013690/2022,OQ876500.1
USA/WA-CDC-LC0280526/2021,OK363266.1
USA/WA-CDC-UW23092736300/2023,OR660526.1
USA/WA-CDC-LC0521029/2022,OM696394.1
USA/WA-CDC-LC0327283/2021,OK606491.1
USA/WA-CDC-UW21050344667/2021,MZ257737.1
USA/WA-S1852/2020,MT833958.1
USA/WA-S12618/2021,OK546660.1
USA/WA-S13425/2021,OL373628.1
USA/WA-UW-21042696280/2021,MZ394167.1
USA/WA-PHL-003014/2021,PP628439.1
USA/WA-CDC-LC0616860/2022,ON534374.1
USA/WA-UW-22122974430/2022,OQ290671.1
USA/WA-S15712/2021,OM003932.1
USA/WA-S17065/2022,OM458002.1
USA/WA-PHL-020916/2022,OQ990672.1
USA/WA-CDC-LC0488017/2022,OM431396.1
USA/WA-CDC-UW21100279328/2021,OK616125.1
USA/WA-PHL-004510/2021,PQ171592.1
USA/WA-CDC-LC0282510/2021,OK366617.1
USA/WA-S12714/2021,OK647682.1
USA/WA-PHL-027810/2022,OQ784950.1
USA/WA-CDC-FG-096279/2021,OK068802.1
USA/WA-S10068/2021,MZ768498.1
USA/WA-S10253/2021,MZ770079.1
USA/WA-CDC-LC0451418/2021,OM225632.1
USA/WA-CDC-LC0890211/2022,OP553324.1
USA/WA-CDC-LC0807922/2022,OP177031.1
USA/WA-CDC-LC0152747/2021,MZ866506.1
USA/WA-CDC-UW22051671305/2022,ON689147.1
USA/WA-CDC-UW23032799488/2023,OQ833502.1
USA/WA-UW-68117/2021,MZ232107.1
USA/WA-UW-22042003562/2022,ON631418.1
USA/WA-CDC-LC0658529/2022,ON657526.1
USA/WA-UW-22071179883/2022,OP107528.1
USA/WA-CDC-LC0393195/2021,OL734883.1
USA/WA-S15657/2021,OM003698.1
USA/WA-PHL-016985/2022,OQ916656.1
USA/WA-CDC-LC0880928/2022,OP518763.1
USA/WA-CDC-UW22122620389/2022,OQ204654.1
USA/WA-S6288/2021,MZ082365.1
USA/WA-S6321/2021,MZ082393.1
USA/WA-S14341/2021,OL676474.1
USA/WA-CDC-LC0887592/2022,OP544482.1
USA/WA-S20542/2022,ON794926.1
USA/WA-CDC-UW21123052415/2021,OM341696.1
USA/WA-CDC-LC0658648/2022,ON657745.1
USA/WA-PHL-006139/2021,PP630019.1
USA/WA-CDC-LC0786566/2022,OP109509.1
USA/WA-PHL-031730/2022,PQ403960.1
USA/WA-UW-22080438768/2022,OP348324.1
USA/WA-CDC-UW22031633905/2022,ON090883.1
USA/WA-PHL-018004/2022,OQ920347.1
USA/WA-CDC-LC0771303/2022,OP026595.1
USA/WA-S2026/2020,MT831283.1
USA/WA-CDC-QDX46877641/2023,OQ577390.1
USA/WA-UW-22121660235/2022,OQ201806.1
USA/WA-UW-21072846531/2021,OK542190.1
USA/WA-UW-23010992034/2023,OQ306214.1
USA/WA-CDC-LC0910445/2022,OP671981.1
USA/WA-CDC-LC0499435/2022,OM498003.1
USA/WA-CDC-LC0496840/2022,OM500203.1
USA/WA-S541/2020,MT632912.1
USA/WA-PHL-025828/2022,PP787359.1
USA/WA-S18488/2022,OM886551.1
USA/WA-CDC-UW24021670758/2024,PP406995.1
USA/WA-PHL-011683/2022,PP631880.1
USA/WA-CDC-UW22040257279/2022,ON305085.1
USA/WA-PHL-003900/2021,PQ171117.1
USA/WA-UW-23060956664/2023,OR214765.1
USA/WA-PHL-031482/2022,PQ403756.1
USA/WA-PHL-022307/2022,PP478011.1
USA/WA-CDC-LC0640417/2022,ON607852.1
USA/WA-S13087/2021,OL333699.1
USA/WA-CDC-LC0602697/2022,ON467343.1
USA/WA-CDC-UW22052139806/2022,ON691804.1
USA/WA-CDC-FG-182085/2021,OL784140.1
USA/WA-UW-2021040200047/2021,MZ236783.1
USA/WA-UW-21041699844/2021,MZ172073.1
USA/WA-CDC-LC0204942/2021,OK101935.1
USA/WA-UW-22050765888/2022,ON631497.1
USA/WA-UW-21072962732/2021,MZ835940.1
USA/WA-UW-21113020104/2021,OM124092.1
USA/WA-CDC-QDX30411094/2021,OL496824.1
USA/WA-UW-22072843209/2022,OP348742.1
USA/WA-CDC-UW23010346478/2023,OQ271564.1
USA/WA-UW-1441/2020,MT293218.1
USA/WA-S396/2020,MT632989.1
USA/WA-CDC-LC0067494/2021,MZ372456.1
USA/WA-S4669/2020,MW685631.1
USA/WA-CDC-UW22020944585/2022,OM753388.1
USA/WA-UW-22040743384/2022,ON412710.1
USA/WA-CDC-UW22021448512/2022,OM900988.1
USA/WA-UW-22060648039/2022,ON891308.1
USA/WA-CDC-UW22051993759/2022,ON691727.1
USA/WA-CDC-LC0620705/2022,ON544632.1
USA/WA-CDC-UW23012530717/2023,OQ392518.1
USA/WA-CDC-LC0573604/2022,ON296515.1
USA/WA-UW-22072826403/2022,OP348520.1
USA/WA-CDC-UW21092139545/2021,OK379939.1
USA/WA-CDC-LC0777599/2022,OP063631.1
USA/WA-UW-22053194506/2022,ON714288.1
USA/WA-CDC-QDX26446419/2021,MZ591172.1
USA/WA-UW-24021019861/2024,PP496899.1
USA/WA-CDC-UW21060327933/2021,MZ415249.1
USA/WA-UW-21100569835/2021,OK635862.1
USA/WA-CDC-UW21123066743/2021,OM269407.1
USA/WA-CDC-UW23100891208/2023,OR686358.1
USA/WA-CDC-UW22021159916/2022,OM900806.1
USA/WA-S2306/2020,MT831741.1
USA/WA-CDC-UW23020834322/2023,OQ472709.1
USA/WA-UW-21042073133/2021,MZ172284.1
USA/WA-PHL-009544/2021,PP631322.1
USA/WA-UW-22011175855/2022,OM646691.1
